"NAZ_LOKAL","roky"
"5361c3",1
"5453a1",1
"5453a2",1
"5453b1",1
"5453b2",1
"5453c1",1
"5453c4",1
"5453d3",1
"5453d5",1
"5453d6",1
"5453d7",1
"5454a1",1
"5454a2",1
"5454a3",1
"5454a4",1
"5454c1",1
"5454c3",1
"5454c5",1
"5455a1",1
"5455b1",1
"5455b2",1
"5455c1",1
"5455c2",1
"5455d1",1
"5455d2",1
"5456c2",1
"5456c6",1
"5456d1",1
"5456d2",1
"5456d3",1
"5456d4",1
"5457a1",1
"5457a2",1
"5457a3",1
"5457b1",1
"5457b2",1
"5457b3",1
"5457c1",1
"5457c2",1
"5457c3",1
"5458a1",1
"5458a2",1
"5458a3",1
"5458a4",1
"5458b1",1
"5458b2",1
"5458b3",1
"5458b4",1
"5458b5",1
"5458b6",1
"5458b7",1
"5458c1",1
"5458c2",1
"5458c3",1
"5458d1",1
"5458d2",1
"5458d3",1
"5458d4",1
"5458d5",1
"5459a1",1
"5459a2",1
"5459a3",1
"5459a4",1
"5459a5",1
"5459c1",1
"5459c2",1
"5459c3",1
"5459c4",1
"5459c5",1
"5459d1",1
"5552d1",1
"5552d2",1
"5553b1",1
"5554a1",1
"5554a2",1
"5554a3",1
"5554d1",1
"5554d2",1
"5555b1",1
"5555b2",1
"5555b3",1
"5555b5",1
"5555b6",1
"5555b7",1
"5555b8",1
"5555b9",1
"5555c1",1
"5555c2",1
"5555c4",1
"5556a2",1
"5556a3",1
"5556a4",1
"5556b2",1
"5556b3",1
"5556c1",1
"5556c2",1
"5556c3",1
"5556d1",1
"5556d2",1
"5556d3",1
"5557a1",1
"5557a2",1
"5557b1",1
"5557d1",1
"5557d2",1
"5558b1",1
"5558b2",1
"5558b3",1
"5558c1",1
"5558c4",1
"5558c5",1
"5641d1 Šindelová",1
"5642c1 Nejdek",1
"5642c2 Nejdek-Tisová, nad nádraím",1
"5642c3 Lesík",1
"5642d1 Novı Fojtov, u Lucky",1
"5642d2 Novı Fojtov, v zatáèce",1
"5644c1 Damice, kosená louka S od obce",1
"5644c2 Damice, nekosená louka S od obce",1
"5644c3 Strá nad Ohøí, u eleznièního mostu",1
"5644c4 Damice, u Plavenského potoka",1
"5644c5 Vojkovice, nad nádraím",1
"5644c6",1
"5644c7",1
"5644c8",1
"5644c9",1
"5644d1 Doupov, nad Tunkovem",1
"5644d2 Doupov, pod Malou Jehliènou",1
"5644d3 Doupov, Vysoká, prameny Kozlovského potoka",1
"5651b1",1
"5652d1",1
"5652d1 + 5752b3",1
"5652d2",1
"5652d3",1
"5653c1",1
"5653d1",1
"5656b1",1
"5656b2",1
"5656b4",1
"5656b6",1
"5669a",1
"5669a2",1
"5669d1",1
"5740b1 Valtéøov",1
"5740b2 Luby",1
"5740b3 Èerná",1
"5741a1 Mlınská",1
"5741a1 Rotava, pod nádraím",1
"5741a2 Oloví",1
"5741c1 Krajková",1
"5741c2 Anenská Ves",1
"5741c3 Dolina u Krajkové",1
"5742a1 Spomyšl 1",1
"5742a2 Spomyšl 2",1
"5742a3 Spomyšl 3",1
"5742d1 Poèerny 1",1
"5742d2 Poèerny 2",1
"5742d3 Poèerny 3, louka u šachy Ilse",1
"5742d4 Poèerny 4",1
"5742d5 Poèerny5",1
"5743b1",1
"5743b1 Ostrov nad Ohøí",1
"5743b10",1
"5743b11",1
"5743b13",1
"5743b2",1
"5743b3",1
"5743b4",1
"5743b5",1
"5743b6",1
"5743b7",1
"5743b8",1
"5743b9",1
"5743d1 Andìlská Hora, u cesty k Šemnici",1
"5743d2 Andìlská Hora, nad rybníkem",1
"5743d3 Andìlská Hora, pod rybníkem",1
"5743d4 Andìlská Hora, pluiny",1
"5744a2 Doupov, Horní Lomnice",1
"5744a3 Svatobor",1
"5744a3 Velichov",1
"5744b1 Doupov, Jalovı Dvùr",1
"5744b2 Doupov, u Hlubocké pily",1
"5744b3 Doupov, Oleška",1
"5744b4 Doupov, u Luního potoka I",1
"5744b5 Doupov u Luního potoka II",1
"5744b6 Doupov, Øednice, pod Višòovkou u potoka Libá",1
"5744c1 Doupov, pod Vìtrovcem",1
"5744c2 Èinov, U Borovic",1
"5744d1 Doupov, Øednice",1
"5744d10 Doupov, u Øednice",1
"5744d2 Doupov, nad Tišinou",1
"5744d3 Doupov, Tišina - západ",1
"5744d4 Doupov, Tišina - vıchod",1
"5744d5 Doupov, prameny Malé Trasovky",1
"5744d6 Doupov, Za Tonkou",1
"5744d7 Doupov, pod Novım rybníkem",1
"5744d8 Doupov, Velka Trasovka, sever",1
"5744d9 Doupov, západnì od Velké Trasovky",1
"5745b1 PR Sedlec - vıchod",1
"5745c2 Doupov, Mìtikalov",1
"5745c3 Doupov, Jeseò - u kruštíkù",1
"5745c4 Doupov, Mìtikalov - pod hoøci",1
"5745c5 Doupov, Jeseò, nad rybníkem",1
"5745c6 Doupov, Jeseò, louka s kruštíky",1
"5745d1 Chmelištná, pod Podhájskım rybníkem",1
"5745d2 Doupov, Nová Ves",1
"5745d3 Doupov, Nová Ves, ke Køeèovu",1
"5749c2",1
"5752b1",1
"5752b2",1
"5753a1",1
"5753b1 + 5753d1",1
"5753b2",1
"5753c1",1
"5753c2",1
"5753d2",1
"5754d1",1
"5754d2",1
"5755a1",1
"5755a2",1
"5755a3",1
"5755c1",1
"5755c2",1
"5757c1",1
"5758c2",1
"5758c3",1
"5758c4",1
"5758c5",1
"5758c7",1
"5768d1",1
"5769b1",1
"5770b1",1
"5770b2",1
"5770b3",1
"5770d1",1
"5770d2",1
"5771a1",1
"5771a2",1
"5771a3",1
"5771b1",1
"5771b2",1
"5771b3",1
"5771c1",1
"5771c2",1
"5771c3",1
"5771d1",1
"5772c1",1
"5772c2",1
"5772d3",1
"5841c1",1
"5843b1Andìlská Hora, louky JV od kaple",1
"5843b2 almanov, pod silnicí",1
"5843b3 almanov, niva pøítoku Dubinského potoka",1
"5843b4 Andìlská Hora, pøíkop J od kaple",1
"5844a1 Braecké hliòáky",1
"5844a10 Braec, u Zeleného rybníka, sever",1
"5844a11 Doupov, Dlouhá, u pomníku",1
"5844a12 Doupov, Dlouhá, pøíkop",1
"5844a13 Doupov, Braec, u cesty",1
"5844a14 Doupov, Braec, u Zeleného rybníka JV",1
"5844a2 Bochov u trati, vıchod",1
"5844a3 Bochov u trati, západ",1
"5844a4 Horní Tašovice, krvavcová louka",1
"5844a5 Horní Tašovice, v zatáèce",1
"5844a6 Èinov, louka na jiním okraji vsi",1
"5844a7 Dolní Valov, pod Valovskım vrchem",1
"5844a8 Braec, u Zeleného rybníka, západ",1
"5844a9 Braec, u Zeleného rybníka, západnì od cesty",1
"5844b1 Doupov, pod Tonkou",1
"5844b10 Doupov, Mokøady u Tìšetic",1
"5844b2 Doupov, u Albeøického potoka",1
"5844b3 Doupov, Radošov",1
"5844b4 Doupov, Bøezina",1
"5844b5 Doupov, Javorná",1
"5844b6 Doupov, Holetice, u Albeøického potoka",1
"5844b7 Doupov, Velká Trasovka, jih",1
"5844b8 Tìšetice, pastvina u potoka",1
"5844b9 Tìšetice, u trati",1
"5844d1_Vahaneè",1
"5845a1 Doupov, Malı Hlavákov",1
"5845a2 Doupov, Lochotín",1
"5845a3 Doupov, Jeseò, za rybníkem",1
"5845a4 Albeøické rybníky",1
"5845a5 Albeøice, u cesty",1
"5845a6 Doupov, Jeseò, kosené louky JZ od rybníka",1
"5845a7 Doupov, Kopáèov",1
"5845b1 PP Vrbina u Nové Vsi",1
"5845b2 Doupov, Oøkovské louky",1
"5845c1 Bošov, okraj kosené louky",1
"5845c2 Bošov, u vyschlého rybníka",1
"5845c3 Skøípová",1
"5845d1",1
"5845d2",1
"5846a2",1
"5846c1",1
"5846c2",1
"5846c3",1
"5846d1",1
"5847b1",1
"5847b2",1
"5847c1",1
"5847c2",1
"5847d1",1
"5848a",1
"5848a1",1
"5848a2",1
"5848b",1
"5848c",1
"5848c2",1
"5848c3",1
"5848c5",1
"5848c6",1
"5848c7",1
"5848d",1
"5848d2",1
"5849a1",1
"5849a11",1
"5849a2",1
"5849a3",1
"5849a4",1
"5849a5",1
"5849a8",1
"5849a9",1
"5849b6",1
"5849b7",1
"5849c2",1
"5849c3",1
"5849c4",1
"5849d1",1
"5849d4",1
"5850a1",1
"5850c",1
"5850c1",1
"5850c2",1
"5850c3",1
"5850c4",1
"5850c5",1
"5850c6",1
"5851c2",1
"5851c3",1
"5851c6",1
"5853",1
"5853d1",1
"5854a2",1
"5854a3",1
"5854a4",1
"5854b1",1
"5854b2",1
"5854c3",1
"5855b1",1
"5855b3",1
"5855b4",1
"5855b5",1
"5855d1",1
"5855d4",1
"5855d5",1
"5856d1",1
"5856d2",1
"5856d3",1
"5857b1",1
"5857b2",1
"5857c1",1
"5857c2",1
"5857d1",1
"5857d3",1
"5866c1",1
"5866c2",1
"5866c3",1
"5866c4",1
"5866c5",1
"5867c1",1
"5867c2",1
"5867c3",1
"5867c4",1
"5868a",1
"5870b1",1
"5870b2",1
"5870c1",1
"5870c2",1
"5870d1",1
"5870d2",1
"5871a1",1
"5871a2",1
"5871a3",1
"5871a4",1
"5871a5",1
"5871b1",1
"5871b2",1
"5871c1",1
"5871c2",1
"5871c3",1
"5871c4",1
"5871d1",1
"5872a2",1
"5872a3",1
"5942a Èistá, U Bunkru",1
"5942a3 Upolínová louka pod Køíky",1
"5942b2 PR Rašeliništì u myslivny",1
"5943b1",1
"5943c1",1
"5943d1",1
"5943d2",1
"5946a1",1
"5946a2",1
"5946b1",1
"5946b2",1
"5946b3",1
"5946b4",1
"5946b5",1
"5946c1",1
"5946c2",1
"5946c3",1
"5946d1",1
"5946d2",1
"5947a4",1
"5947a5",1
"5947b2",1
"5947b3",1
"5947b4",1
"5947c2",1
"5947c3",1
"5947c4",1
"5947c5",1
"5947c6",1
"5947c7",1
"5947c8",1
"5947d1",1
"5947d2",1
"5947d3",1
"5947d4",1
"5947d5",1
"5947d7",1
"5948a1",1
"5948a2",1
"5948a3",1
"5948b3",1
"5948c1",1
"5948c2",1
"5948c3",1
"5948c4",1
"5948c7",1
"5948c8",1
"5948d1",1
"5949a1",1
"5949b1",1
"5949b2",1
"5949b3",1
"5949c1",1
"5949c2",1
"5949c3",1
"5949d1",1
"5949d2",1
"5950a2",1
"5950a3",1
"5950b1",1
"5950d3",1
"5951a",1
"5951b3",1
"5951c1",1
"5951c2",1
"5951d1",1
"5951d2",1
"5952a1",1
"5952d2",1
"5953a1",1
"5953a2",1
"5953a3",1
"5953a4",1
"5953a5",1
"5953b1",1
"5953c",1
"5953d1",1
"5954a2",1
"5954a3",1
"5954c1",1
"5954c2",1
"5954c3",1
"5954c4",1
"5954d1",1
"5954d2",1
"5954d3",1
"5957a1",1
"5957a2",1
"5957a4",1
"5960a1",1
"5966779f-e2bd-4a6c-b65e-f51153fc89d1",1
"5970b2",1
"5970c1",1
"5971a2",1
"5971a3",1
"5971c1",1
"5971c2",1
"5971d1",1
"5971d2",1
"5971d3",1
"5971d4",1
"5972b2",1
"5972c1",1
"5972c2",1
"5972c3",1
"5972d1",1
"5972d2",1
"5974c1",1
"5974c4",1
"6041b1 Klimentov",1
"6042a1 Velká Hleïsebe",1
"6042c1 Mar. Láznì, Vysoká Pec",1
"6042c2 Mar. Láznì, Stavební Dvùr",1
"6043a1",1
"6048b",1
"6048b1",1
"6049a",1
"6049b1",1
"6049d1",1
"6050c",1
"6051b",1
"6052b1",1
"6052b2",1
"6052c1",1
"6052c2",1
"6052d1",1
"6053a1",1
"6053b1",1
"6053c1",1
"6053d1",1
"6053d2",1
"6053d3",1
"6054a1",1
"6054a2",1
"6054b1",1
"6054c1",1
"6054c2",1
"6054d1",1
"6054d2",1
"6054d3",1
"6055a1",1
"6055a2",1
"6055c1",1
"6055c2",1
"6055c3",1
"6055c4",1
"6055c5",1
"6056",1
"6057c1",1
"6057c2",1
"6057c3",1
"6057c4",1
"6057c5",1
"6057c6",1
"6057d1",1
"6057d2",1
"6058b1",1
"6059a2",1
"6059a3",1
"6059b1",1
"6059c1",1
"6059d",1
"6059d1",1
"6060a1",1
"6060b1",1
"6060c2",1
"6060d",1
"6060d1",1
"6060d2",1
"6069d1",1
"6070a1",1
"6070c4",1
"6070d3",1
"6071a1",1
"6071a2",1
"6071a3",1
"6071a4",1
"6071a5",1
"6071a6",1
"6071b1",1
"6071b2",1
"6071c2",1
"6071c3",1
"6071d1",1
"6071d2",1
"6071d3",1
"6072b1",1
"6072c1",1
"6072c2",1
"6073a3",1
"6073a4",1
"6073a5",1
"6073a6",1
"6073c2",1
"6073c3",1
"6073c4",1
"6073d4",1
"6074c1",1
"6074c2",1
"6074d5",1
"6075c2",1
"6146a01",1
"6146a02",1
"6146b01",1
"6146b02",1
"6146b03",1
"6146b04",1
"6146b05",1
"6146b06",1
"6146b07",1
"6146c01",1
"6146c02",1
"6146c03",1
"6146c04",1
"6146c05",1
"6146c06",1
"6146c07",1
"6146c08",1
"6146c09",1
"6146c10",1
"6146c11",1
"6146d01",1
"6146d02",1
"6146d03",1
"6146d04",1
"6146d05",1
"6147a01",1
"6147c02",1
"6147c03",1
"6147c04",1
"6147c05",1
"6147c06",1
"6147c07",1
"6148a01",1
"6148a02",1
"6148a03",1
"6148a04",1
"6148a05",1
"6148a06",1
"6148a07",1
"6148a08",1
"6148b01",1
"6148b02",1
"6148b03",1
"6148b04",1
"6148b05",1
"6148b06",1
"6148b07",1
"6148b08",1
"6148b09",1
"6148c01",1
"6148c02",1
"6148c03",1
"6148c04",1
"6148c05",1
"6148c06",1
"6148c07",1
"6148c08",1
"6148d01",1
"6148d02",1
"6148d03",1
"6148d04",1
"6148d05",1
"6148d06",1
"6148d07",1
"6148d08",1
"6148d09",1
"6148d10",1
"6148d11",1
"6148d12",1
"6148d13",1
"6148d14",1
"6148d15",1
"6148d16",1
"6148d17",1
"6148d18",1
"6148d19",1
"6148d20",1
"6149a01",1
"6149a02",1
"6149a03",1
"6149a04",1
"6149a05",1
"6149a06",1
"6149a07",1
"6149a08",1
"6149a09",1
"6149a10",1
"6149a11",1
"6149d1",1
"6149d2",1
"6149d3",1
"6149d4",1
"6149d5",1
"6150b",1
"6151a1",1
"6151a2",1
"6151a3",1
"6151a4",1
"6151a5",1
"6151a6",1
"6151b1",1
"6151b2",1
"6151b3",1
"6151b4",1
"6151c",1
"6152b1",1
"6152b2",1
"6153a1",1
"6153a2",1
"6153b1",1
"6153b2",1
"6153d3",1
"6154a1",1
"6154a2",1
"6154b1",1
"6154b2",1
"6154b3",1
"6155a4",1
"6155a5",1
"6155b",1
"6155b1",1
"6155b2",1
"6155b3",1
"6155c1",1
"6155c4",1
"6155c5",1
"6155d1",1
"6155d2",1
"6155d3",1
"6155d4",1
"6156b1",1
"6156c1",1
"6156c3",1
"6156d1",1
"6157a1",1
"6157a2",1
"6157a3",1
"6157a4",1
"6157a5",1
"6157a6",1
"6157b1",1
"6157b2",1
"6157b3",1
"6157b4",1
"6157c1",1
"6157c2",1
"6157c3",1
"6157c4",1
"6157d1",1
"6157d2",1
"6157d3",1
"6157d4",1
"6157d5",1
"6157d6",1
"6157d7",1
"6157d8",1
"6159b",1
"6159d",1
"6160a",1
"6160d",1
"6161a",1
"6161c",1
"6167b1",1
"6167b2",1
"6167d1",1
"6170b1",1
"6170b2",1
"6170b3",1
"6170b4",1
"6170c3",1
"6170c4",1
"6170d1",1
"6170d2",1
"6170d320",1
"6170d4",1
"6170d5",1
"6171a1",1
"6171a2",1
"6171c3",1
"6171c4",1
"6172a4",1
"6172a5",1
"6172a6",1
"6172b1",1
"6172b2",1
"6172b3",1
"6172b4",1
"6172c1",1
"6172c2",1
"6172c3",1
"6172c4",1
"6172d1",1
"6172d2",1
"6173a1",1
"6173a2",1
"6173a3",1
"6173a4",1
"6173b3",1
"6173c1",1
"6173d1",1
"6173d2",1
"6174a1",1
"6174a2",1
"6174c1",1
"6174c3",1
"6174d1",1
"6174d2",1
"6175b1",1
"6175b2",1
"6175b3",1
"6175b4",1
"6175c",1
"6175c1",1
"6175c2",1
"6175c3",1
"6175c4",1
"6175c5",1
"6175c6",1
"6175c7",1
"6175c8",1
"6175c9",1
"6243d01",1
"6243d02",1
"6243d03",1
"6243d04",1
"6243d05",1
"6244b01",1
"6244b02",1
"6244b03",1
"6244b04",1
"6244b05",1
"6244b06",1
"6244d01",1
"6244d02",1
"6244d03",1
"6244d04",1
"6244d05",1
"6244d06",1
"6244d07",1
"6244d08",1
"6244d09",1
"6244d10",1
"6244d11",1
"6244d12",1
"6245a01",1
"6245a02",1
"6245a03",1
"6245a04",1
"6245a05",1
"6245a06",1
"6245a07",1
"6245a08",1
"6245a09",1
"6245a10",1
"6245a11",1
"6245a12",1
"6245a13",1
"6245a14",1
"6245a15",1
"6246b01",1
"6247a01",1
"6247a02",1
"6247a03",1
"6247a04",1
"6247a05",1
"6247a06",1
"6247a07",1
"6247a08",1
"6247a09",1
"6247a10",1
"6247a11",1
"6247a12",1
"6247b01",1
"6247b02",1
"6247b03",1
"6247b04",1
"6247c01",1
"6247c02",1
"6247c03",1
"6247c04",1
"6247c05",1
"6247c06",1
"6247c07",1
"6247c08",1
"6247c09",1
