PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
590;39812339;Phengaris teleius;modrásek oèkovanı;Motıli;Hanè Zdenìk;20170711;20170711;;6177735;Tøebeè;7154;Tøebeè;-741330.53;-1179392.65;HANÈ Z. (2018) -.;0;20;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Hanè Zdenìk;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20170712
591;39812329;Phengaris teleius;modrásek oèkovanı;Motıli;Hanè Zdenìk;20170711;20170711;;6177730;Brouskùv mlın;7154;Jílovice u Trhovıch Svinù;-741028.84;-1179046.16;HANÈ Z. (2018) -.;0;15;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Hanè Zdenìk;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20170712
592;39811969;Phengaris teleius;modrásek oèkovanı;Motıli;Rektoris Ladislav;20170711;20170711;;5756801;Hrachovištì;7054;Hrachovištì u Tøebonì;-734610;-1173799;REKTORIS L. (2015) Zoologické nálezy.;0;12;0;jedinci;;;;;;0;louka po první seèi s aspektem totenù a Senecio aquaticus;totenová louka u silnice pøed obcí Hrachovištì ( po pravé stranì pøi cestì od Tøebonì);vlhká totenová louka pøedìlená stokou;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Rektoris Ladislav;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20170711
593;39811968;Phengaris teleius;modrásek oèkovanı;Motıli;Rektoris Ladislav;20170711;20170711;;6177373;Najdorf;7155;Nová Ves u Klikova;-719654.03;-1179453.69;REKTORIS L. (2015) Zoologické nálezy.;0;60;0;jedinci;hojnì;;;;páøení;0;na loukách nastaven management ' chøástal', tzn. louky kosené 1x za rok a v záøí;louky v ochranném pásmu PR Široké blato, jiní èást smìrem k øíèce Draèice,;vlhká louka s toteny v luèní enklávì zaniklé vsi Najdorf u Klikova;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Rektoris Ladislav;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;0;20170711
594;39296522;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlíèko Alois;20160625;20160804;;6082072;Zálany, J obce smìr na Romitál. (26a);6349;Romitál pod Tøemšínem;-790085.14;-1088603.65;Kolektiv autorù (2016) Prùzkum motılù na cennıch plochách CHKO Brdy (denní a noèní), 2016.;0;3;0;samci;;;;;;0;;Degradovaná louka pod serpentinou zarùstající rákosem (k,ú, Romitál p, Tøemšínem, p,è, 1997), Rozloha nejcennìjší plochy ca 100 m2,;;;Sbìr floristickıch a faunistickıch nálezù;Prùzkum motılù na cennıch plochách CHKO Brdy;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1;20170421
595;39296509;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlíèko Alois;20160625;20160804;;6082070;Zálany, J obce smìr na Romitál (25);6349;Romitál pod Tøemšínem;-789823;-1089387.71;Kolektiv autorù (2016) Prùzkum motılù na cennıch plochách CHKO Brdy (denní a noèní), 2016.;0;1;0;samci;;;;;;0;;Zálany, J obce smìr na Romitál, Louky u vodních zdrojù,;;;Sbìr floristickıch a faunistickıch nálezù;Prùzkum motılù na cennıch plochách CHKO Brdy;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1;20170421
596;39296479;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlíèko Alois;20160625;20160804;;6082066;Vìšín, rekreaèní støedisko Z obce (27);6348;Vìšín;-794872.21;-1088791.62;Kolektiv autorù (2016) Prùzkum motılù na cennıch plochách CHKO Brdy (denní a noèní), 2016.;0;;0;jedinci;;;;;;0;;Vìšín, Rekreaèní støedisko Z obce, Louka pod letním dìtskım táborem, èást ruderalizovaná, ostatní velice kvalitní,;;;Sbìr floristickıch a faunistickıch nálezù;Prùzkum motılù na cennıch plochách CHKO Brdy;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1;20170421
597;39296347;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlíèko Alois;20160625;20160804;;6082054;Voltuš - JV obce, rybník a okolní louky (30);6449;Voltuš;-792255.41;-1092087.93;Kolektiv autorù (2016) Prùzkum motılù na cennıch plochách CHKO Brdy (denní a noèní), 2016.;0;2;0;samci;;;;;;0;;Voltuš - JV obce, rybník a okolní louky, mozaikovitì seèená (ovsíkové kombinovaná s pøechody totenovıch luk), velmi vıznamná,;;;Sbìr floristickıch a faunistickıch nálezù;Prùzkum motılù na cennıch plochách CHKO Brdy;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1;20170421
598;39296198;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlíèko Alois;20160706;20160706;;6082034;PP Pastvina u Zahorèic (43);6548;Zahorèice u Lnáø;-797787.95;-1102988.79;Kolektiv autorù (2016) Prùzkum motılù na cennıch plochách CHKO Brdy (denní a noèní), 2016.;0;20;0;jedinci;;;;;;0;;PP Pastvina u Zahorèic, bezkolencové louky,;;;Sbìr floristickıch a faunistickıch nálezù;Prùzkum motılù na cennıch plochách CHKO Brdy;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1;20170421
599;39279620;Phengaris teleius;modrásek oèkovanı;Motıli;Vrabec Vladimír;20110816;20120715;;6074705;Rašeliništì Rašelina Jestøebí;5353;Jestøebí u Èeské Lípy;-722851.31;-987302.77;GREMLICA T. et al. (2011) VaV SP/2d1/141/07 Rekultivace a management nepøírodních biotopù v Èeské republice.;0;1;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Prùzkumy území po tìbì nerostnıch surovin;ISOP Admin;1;;;Garantováno;;SO;HD II, HD IV;VU;;;;1;20170331
