PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;METOD_SB;POKRYVN;PATROVITOST;FENOFAZE;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1;65489050;Phengaris teleius;modrásek oèkovanı;Motıli;Laška Vratislav;20240424;20240816;;12746740;Velká Morava;5866;Velká Morava;-573477.32;-1059828.04;LAŠKA V., URBÁNEK L., NOVÁK P. (2024) Data z biologickıch posouzení 2022 - 2025.;0;;0;;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Data z botanického a zoologického prùzkumu;Laška Vratislav;0;;;;;SO;HD II, HD IV;VU;;;;67;20251113
2;65487655;Phengaris teleius;modrásek oèkovanı;Motıli;Laška Vratislav;20220616;20220728;;12746735;Sudslava;5963;Sudslava;-610402.33;-1064224.41;LAŠKA V., URBÁNEK L. (2022) Data z biologickıch posouzení 2022 - 2025.;0;;0;;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Data z botanického a zoologického prùzkumu;Laška Vratislav;0;;;;;SO;HD II, HD IV;VU;;;;102;20251113
3;65359050;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlièko Alois;20240727;20240727;;12692811;KÚ: Horní Planá;7250;Horní Planá;-786024.79;-1184163.93;Kolektiv autorù (2024) Transektovı monitoring denních motılù v letech 2024-2029.;0;3;0;jedinci;;;;;;;;0;;;;;OP Mon3: Monitoring a mapování;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;VU;;;;1;20251023
4;65358577;Phengaris teleius;modrásek oèkovanı;Motıli;Faltynek Fric Zdenìk;20230709;20230709;;12692710;KÚ: Volary;7048;Volary;-805291.76;-1165435.89;Kolektiv autorù (2024) Data EBMS.;0;4;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;VU;;;;1;20251023
5;65358345;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlièko Alois;20230723;20230723;;12692673;KÚ: Horní Planá;7250;Horní Planá;-786042.7;-1184253.5;Kolektiv autorù (2024) Data EBMS.;0;14;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;VU;;;;1;20251023
6;65357804;Phengaris teleius;modrásek oèkovanı;Motıli;Faltynek Fric Zdenìk;20220719;20220719;;12692571;KÚ: Nová Ves nad Lunicí;7155;Nová Ves nad Lunicí;-727030.25;-1188272.67;Kolektiv autorù (2024) Data EBMS.;0;2;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;1;20251023
7;65357795;Phengaris teleius;modrásek oèkovanı;Motıli;Faltynek Fric Zdenìk;20220719;20220719;;12692570;KÚ: Nová Ves nad Lunicí;7155;Nová Ves nad Lunicí;-726484.13;-1188282.51;Kolektiv autorù (2024) Data EBMS.;0;2;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;1;20251023
8;65357499;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlièko Alois;20220728;20220728;;12692517;KÚ: Horní Planá;7250;Horní Planá;-786047.38;-1184255.08;Kolektiv autorù (2024) Data EBMS.;0;4;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;VU;;;;1;20251023
9;65357470;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlièko Alois;20220718;20220718;;12692514;KÚ: Horní Planá;7250;Horní Planá;-786026.53;-1184254.67;Kolektiv autorù (2024) Data EBMS.;0;24;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;VU;;;;1;20251023
10;65357397;Phengaris teleius;modrásek oèkovanı;Motıli;Pavlièko Alois;20220626;20220626;;12692504;KÚ: Horní Planá;7250;Horní Planá;-786046.49;-1184254.08;Kolektiv autorù (2024) Data EBMS.;0;4;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;VU;;;;1;20251023
11;65356503;Phengaris teleius;modrásek oèkovanı;Motıli;Hanè Zdenìk;20240717;20240717;;12692337;KÚ: Kocelovice;6548;Kocelovice;-794872.44;-1104598.85;Kolektiv autorù (2024) Data EBMS.;0;1;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;VU;;;;1;20251023
