PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;METOD_SB;POKRYVN;PATROVITOST;FENOFAZE;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
11;65359049;Phengaris nausithous;modrásek bahenní;Motıli;Pavlièko Alois;20240727;20240727;;12692811;KÚ: Horní Planá;7250;Horní Planá;-786024.79;-1184163.93;Kolektiv autorù (2024) Transektovı monitoring denních motılù v letech 2024-2029.;0;2;0;jedinci;;;;;;;;0;;;;;OP Mon3: Monitoring a mapování;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;NT;;;;1;20251023
12;65358355;Phengaris nausithous;modrásek bahenní;Motıli;Pavlièko Alois;20230724;20230724;;12692674;KÚ: Prachatice;6950;Prachatice;-788803.39;-1157557.35;Kolektiv autorù (2024) Data EBMS.;0;1;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;NT;;;;1;20251023
13;65358344;Phengaris nausithous;modrásek bahenní;Motıli;Pavlièko Alois;20230723;20230723;;12692673;KÚ: Horní Planá;7250;Horní Planá;-786042.7;-1184253.5;Kolektiv autorù (2024) Data EBMS.;0;2;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;NT;;;;1;20251023
14;65357794;Phengaris nausithous;modrásek bahenní;Motıli;Faltynek Fric Zdenìk;20220719;20220719;;12692570;KÚ: Nová Ves nad Lunicí;7155;Nová Ves nad Lunicí;-726484.13;-1188282.51;Kolektiv autorù (2024) Data EBMS.;0;5;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;NT;;;;1;20251023
15;65357767;Phengaris nausithous;modrásek bahenní;Motıli;Faltynek Fric Zdenìk;20220720;20220720;;12692566;KÚ: Nová Ves nad Lunicí;7155;Nová Ves nad Lunicí;-725324.69;-1188037.15;Kolektiv autorù (2024) Data EBMS.;0;2;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;NT;;;;1;20251023
16;65357655;Phengaris nausithous;modrásek bahenní;Motıli;Faltynek Fric Zdenìk;20220803;20220803;;12692549;KÚ: Nová Ves nad Lunicí;7155;Nová Ves nad Lunicí;-726442.47;-1188292.45;Kolektiv autorù (2024) Data EBMS.;0;4;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;NT;;;;1;20251023
17;65357498;Phengaris nausithous;modrásek bahenní;Motıli;Pavlièko Alois;20220728;20220728;;12692517;KÚ: Horní Planá;7250;Horní Planá;-786047.38;-1184255.08;Kolektiv autorù (2024) Data EBMS.;0;1;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;NT;;;;1;20251023
18;65357484;Phengaris nausithous;modrásek bahenní;Motıli;Pavlièko Alois;20220726;20220726;;12692516;KÚ: Prachatice;6950;Prachatice;-788755.13;-1157586.73;Kolektiv autorù (2024) Data EBMS.;0;1;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;NT;;;;1;20251023
19;65357469;Phengaris nausithous;modrásek bahenní;Motıli;Pavlièko Alois;20220718;20220718;;12692514;KÚ: Horní Planá;7250;Horní Planá;-786026.53;-1184254.67;Kolektiv autorù (2024) Data EBMS.;0;1;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;;;;;SO;HD II, HD IV;NT;;;;1;20251023
20;65356749;Phengaris nausithous;modrásek bahenní;Motıli;Klein Haneveld Joost;20240802;20240802;;12692377;KÚ: Møíèná;5358;Møíèná;-662047.67;-994692.1;Kolektiv autorù (2024) Data EBMS.;0;3;0;jedinci;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù motılù;Hejda Radek;0;vìrohodnı záznam;;Návrh validace;;SO;HD II, HD IV;NT;;;;1;20251023
