PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
1387;45655285;Phengaris nausithous;modrásek bahenní;Motıli;Janák Radek;20180715;20180715;;1329968;Mnichovice - M1c;7351;Mnichovice u Louèovic;-776057;-1205255;Janák Radek (2018) Mapování modráska èernoskvrnného (Phengaris arion) na Vyšebrodsku. Biotopové a managementové preference.;0;1;0;samice;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;748;126;20181101
1388;45653556;Phengaris nausithous;modrásek bahenní;Motıli;Kubelík Michal;20160723;20160723;;6675733;PP Studánky u Cerhovic;6148;Cerhovice;-790062.23;-1063470.76;KUBELÍK M. (2018) Terénní zápisky - náhodná pozorování.;0;1;0;jedinci;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Kubelík Michal;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;10;20181031
1389;45652176;Phengaris nausithous;modrásek bahenní;Motıli;Janáková Marie;20180715;20180715;;6675345;Rybník - Satlerùv rybník;7352;Rybník u Dolního Dvoøištì;-764178.75;-1202040.83;Janáková Marie, Janák Radek (2018) monitoring.;0;2;0;samci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;0;20181030
1390;45652158;Phengaris nausithous;modrásek bahenní;Motıli;Janáková Marie;20180714;20180714;;6675341;Vyšší Brod - køíová cesta;7351;Vyšší Brod;-773834.07;-1204411.19;Janáková Marie, Janák Radek (2018) monitoring.;0;1;0;samice;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;0;20181030
1391;45652157;Phengaris nausithous;modrásek bahenní;Motıli;Janáková Marie;20180714;20180714;;6675341;Vyšší Brod - køíová cesta;7351;Vyšší Brod;-773834.07;-1204411.19;Janáková Marie, Janák Radek (2018) monitoring.;0;1;0;samci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;0;20181030
1392;45650002;Phengaris nausithous;modrásek bahenní;Motıli;Janáková Marie;20180714;20180714;;6675179;Vyšší Brod - Kleštín 2;7351;Hrudkov;-773700.77;-1199768.61;Janáková Marie, Janák Radek (2018) monitoring.;0;2;0;jedinci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;0;20181030
1393;45649976;Phengaris nausithous;modrásek bahenní;Motıli;Janáková Marie;20180714;20180714;;6675176;Vyšší Brod - Kleštín 1;7351;Bolechy;-773752.82;-1199746.54;Janáková Marie, Janák Radek (2018) monitoring.;0;5;0;samice;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;0;20181030
1394;45649975;Phengaris nausithous;modrásek bahenní;Motıli;Janáková Marie;20180714;20180714;;6675176;Vyšší Brod - Kleštín 1;7351;Bolechy;-773752.82;-1199746.54;Janáková Marie, Janák Radek (2018) monitoring.;0;13;0;samci;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Janák Radek;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;0;20181030
1395;45649506;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180809;20180809;;6675087;Karlinky, Irkutská, p.è. 228/1;5256;Karlinky;-691356.29;-975244.57;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;2;1;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;3;20181030
1396;45649505;Phengaris nausithous;modrásek bahenní;Motıli;Lank Josef;20180805;20180805;;6675085;Minkovice, Minkovická, p.è. 12/2;5256;Minkovice;-688850.47;-979137.72;LANK J. (2018) Terénní zápisky - náhodná pozorování.;0;2;0;imaga;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Lank Josef;1;;;Garantováno;;SO;HD II, HD IV;NT;;;;1;20181030
