"FSB","overlaps","area_ha"
"T",5456,2746.42754520933
"-",4172,4472.0660292147
"X",3406,2450.56505250121
"moz.",2925,1661.01146324983
"L",1606,570.753312893995
"K",463,70.4063926382402
"M",353,103.588336321836
"V",255,195.046053296001
"R",171,95.4253756325938
"S",9,0.181281382668193
