"model","label","n_obs","df","AIC","BIC","logLik","delta_AIC"
"nau_plant","Host plant abundance",1805,4,2267.29550614205,2289.28876962512,-1129.64775307103,0
"nau_resource_density","Site area by host plant abundance",1805,6,2268.73173882172,2301.72163404633,-1128.36586941086,1.43623267966996
"nau_area_null","Null model on records with a positive site area",1805,3,2318.38215782827,2334.87710544057,-1156.19107891413,51.0866516862147
"nau_area","Site area",1805,4,2318.55389176068,2340.54715524375,-1155.27694588034,51.2583856186243
"nau_area_poly","Site area, quadratic",1805,5,2320.25747029535,2347.74904964918,-1155.12873514767,52.9619641532918
