PORADI,ID_NALEZ,DRUH,CESKE_JMENO,KAT_TAX,AUTOR,DATUM_OD,DATUM_DO,CAS,ID_LOKAL,NAZ_LOKAL,SITMAP,KATASTR,X,Y,ZDROJ,NEGATIV,POCET,ODHAD,POCITANO,REL_POC,METOD_SB,POKRYVN,PATROVITOST,FENOFAZE,KODHN,ETOLOGIE,KOMPLETNI_SEZNAM,POZNAMKA,UMIST_NAL,POP_BIOT,TAX_POZN,PROJEKT,DAT_SADA,ZAPSAL,VEROH,VALIDACE,VAL_POZN,GARANCE,GAR_POZN,VYHLASKA,EVD,REDLIST,STRUKT_POZN,CXLOKAL_POZN,CXLOKAL_Z,CXPRESNOST,DATI_INSERT,DATI_UPDATE,UPDATOR,KOD,ALP,ATL,BLS,BOR,CON,MAC,MED,PAN,STE,MATL,MBAL,MBLS,MMAC,MMED,REGION_CHK,CNTRY_CHK,row_n,range_Pnau,range_Ptel,range_both,IMPUTED
359,65296535,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20230727,20230727,NA,12671699,6545c05,6545,Svrčovec,-83680844,-110374388,Kolektiv autorů (2022) Monitoring motýlů.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, vliv: nevhodná seč (vysoká intenzita, termín apod.), Perspektiva lokality: neznámá, Přítomnost rostlin: jednotlivě",NA,NA,1,20251009,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
454,65296393,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20230727,20230727,NA,12671716,6545c06,6545,Svrčovec,-83684757,-110382164,Kolektiv autorů (2022) Monitoring motýlů.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, vliv: nevhodná seč (vysoká intenzita, termín apod.), abiotické přírodní procesy (eroze, zanášení, vysychání apod.), jiný vliv: obcasne zaplavovani - niva Uhlavy, Perspektiva lokality: neznámá, Přítomnost rostlin: jednotlivě",NA,NA,1,20251009,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
456,65296390,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20230727,20230727,NA,12671053,6545c04,6545,Tupadly u Klatov,-83876216,-110565665,Kolektiv autorů (2022) Monitoring motýlů.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,"jiný typ biotopu, zarůstající louka bez managementu-extenzivne udrzovany TP mezi komunikaci a Tupadelskym potokem",NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"vliv: absence či nedostatek péče, sukcese, eutrofizace či okyselování, hromadění organického materiálu, Perspektiva lokality: neznámá, Přítomnost rostlin: jednotlivě",NA,NA,1,20251009,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
461,65296383,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20230727,20230727,NA,12671573,6545c03,6545,Poleň,-84115916,-110324972,Kolektiv autorů (2022) Monitoring motýlů.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, vliv: jiný vliv, nevhodná seč (vysoká intenzita, termín apod.), eutrofizace či okyselování: vlhci enklava s vyskytem krvavce uvnitr celoplosne kosene louky louky , Perspektiva lokality: neznámá, Přítomnost rostlin: jednotlivě",NA,NA,1,20251009,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
5837,49920265,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20200811,20200811,NA,7587634,6545c08,6545,Tajanov u Tupadel,-83713495,-110629707,Kolektiv autorů (2020) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,Pouze jednotlive kvetouci krvavce po nedavne seci,NA,"TTP s pravidelným managementem,příkop u komunikace,jiný, Okraj louky a prikopu",NA,Monitoring druhů ČR,Monitoring druhů ČR,Hejda Radek,1,NA,NA,Garantováno,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě, Perspektiva lokality: neznámá, Negativní vlivy na lokalitě: sečení",NA,NA,1,20200915,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
6649,48054151,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20190731,20190731,NA,7187747,6644b2,6645,Buková u Klatov,-84363681,-110803347,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,Okraj kulturni secene louky a prikop s krvavcem,NA,"příkop u komunikace,TTP s pravidelným managementem",NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě, Perspektiva lokality: neznámá, Negativní vlivy na lokalitě: sečení",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
6879,48053921,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20190712,20190712,NA,7187519,6645a3,6645,Bezděkov u Klatov,-83833266,-110856109,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"Kulturni celoplosne kosena louka, perspektivnejsi pouze v pripade lepe nastaveneho managementu. Aktualne stacil vykvest pouze zlomek pritomnych krvavcu ... ale budou postupne nakvetat. Pravdepodobne dlouhodoba absence modrasku.",NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: jednotlivě, Perspektiva lokality: neznámá, Negativní vlivy na lokalitě: sečení",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
6880,48053920,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20190712,20190712,NA,7187518,6645a2,6645,Bezděkov u Klatov,-83766192,-110819943,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,Hojný výskyt živné rostliny ale absence managementu. Pravdepodobně dlouhodobá absence krvavcových modrásků,NA,zarůstající louka bez managementu,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"sta_pritomnostrostlin: hojně, Perspektiva lokality: neznámá, Negativní vlivy na lokalitě: vývoj biocenózy, sukcese všeobecně,hromadění organického materiálu (stařiny),eutrofizace",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
6881,48053919,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20190712,20190712,NA,7187517,6645a1,6645,Bezděkov u Klatov,-83762927,-11079862,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ano, Seč celoplošná: ano, sta_pritomnostrostlin: hojně, Perspektiva lokality: neznámá, Negativní vlivy na lokalitě: sečení",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
7204,48053588,Phengaris nausithous,modrásek bahenní,Motýli,Papoušek Zdeněk,20190712,20190712,NA,7187205,6645a9,6645,Rohozno,-84016036,-111078348,Kolektiv autorů (2019) Monitoring totenových modrásků. Monitoring druhů ČR. AOPK ČR.,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0,"Na casti louky je znatelna vetsi mira eutrofizace, pouze lokalne hojnejsi vyskyt krvavcu",NA,TTP s pravidelným managementem,NA,Monitoring druhů ČR,Monitoring druhů ČR,Bárdyová Mária,0,NA,NA,NA,NA,SO,"HD II, HD IV",NT,"Seč vhodně načasovaná: ne, Seč celoplošná: ano, sta_pritomnostrostlin: hojně, Perspektiva lokality: neznámá, Negativní vlivy na lokalitě: sečení,eutrofizace,hnojení",NA,NA,1,20200120,NA,NA,1061,0,0,0,0,100,0,0,0,0,0,0,0,0,0,keep,keep,595,1,NA,1,FALSE
