"ID_LOKAL";"OBJECTID.x";"SEGMENT_ID";"REGION_ID.x";"FSB";"BIOTOP_SEZ";"DATUM";"ROK_AKT.x";"SEG_REL_ID.x";"REG_REL_ID.x";"SHAPE_Leng";"SHAPE_Area";"OBJECTID.y";"REGION_ID.y";"HABITAT";"HABIT_TYP";"BIOTOP";"STEJ_PR";"SEC";"BM";"ZMENA";"RB";"RBB";"SD";"MD";"DG";"DGP";"MGS";"MGN";"RH";"TD";"SF";"DATUM.y";"MAPOVATEL";"DILO";"POZNAMKA";"REPRE";"ZACH";"KVALITA";"PLO_BIO_M2";"ROK_AKT.y";"SEG_REL_ID.y";"REG_REL_ID.y";"FSB_EVAL_prep";"FSB_EVAL";"REGION_ID";"AREA_real";"LENGTH_real"
12671060;562369;14150016;"CZ1415";"L";"L7.1 (100)";2012-08-10;2012;1815756;5005;625,482151703;14334,4668605;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"moz.";"L";"CZ1415";4593,69197180308;0
12671060;562371;14150018;"CZ1415";"T";"T1.4 (100)";2012-08-10;2012;1815758;5005;1141,34075089;23311,7754257;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"moz.";"T";"CZ1415";20815,540429201;0
12671060;562372;14150022;"CZ1415";"L";"L2.2 (100)";2012-08-10;2012;1815759;5005;1897,25990415;19575,6982155;6200382;"CZ1415";"91E0";"p";"L2.2";100;NA;NA;"A";"W";NA;"S";"2";NA;"těžba dřeva";"N";"S";"3";NA;NA;2012-08-10;"Lvončík Samuel";"A002194";"Část púvodního segmentu vykácená. Linie pobřežního porostu hodně prořezaná, v době mapování pořád pokračují práce. V následujících letech lze očekávat rozvoj křovin a ruderálních druhů. Segment vymezen kolem Stařečského potoka, šířka koryta 1-2m.";NA;NA;4;19575,69821549;2012;1815759;5005;NA;"L";"CZ1415";13982,1273255746;0
12671060;562373;14150019;"CZ1415";"T";"T1.4 (100)";2012-08-10;2012;1815760;5005;558,84886066;10605,5604149;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"moz.";"T";"CZ1415";10542,2720021205;0
12671060;562375;14150021;"CZ1415";"moz.";"K3 (80), X13 (20)";2012-08-10;2012;1815762;5005;617,709352236;6862,01906055;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"moz.";"moz.";"CZ1415";5749,85074178223;0
12671060;562381;14150028;"CZ1415";"K";"K3 (100)";2012-06-10;2012;1815768;5005;239,464169795;1747,16712216;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"moz.";"K";"CZ1415";58,1952287023887;0
12671060;562383;14150037;"CZ1415";"T";"T1.4 (100)";2012-06-10;2012;1815770;5005;550,808148803;12336,008938;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"moz.";"T";"CZ1415";10148,2075636922;0
12671060;562384;14150030;"CZ1415";"-";"-1 (100)";2012-10-10;2012;1815771;5005;56693,8601223;23094197,4437;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"CZ1415";56212,5134731312;0
8574026;562770;4730525;"CZ0473";"L";"L2.2 (100)";2011-07-19;2011;1814098;4999;335,884624844;2569,05707508;6198270;"CZ0473";"91E0";"p";"L2.2";100;NA;NA;"0";"W";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2011-07-19;"Farská Jitka";"A001708";"ruderalizovaná olšina";NA;NA;4;2569,05707508;2011;1814098;4999;NA;"L";"CZ0473";198,689027028449;0
7187708;563188;31280345;"CZ3128";"-";"-1 (100)";2011-08-10;2011;1817242;5010;182567,095506;23651058,9775;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"-";"CZ3128";0;0
7083667;563304;19750324;"CZ1975";"T";"T1.9 (100)";2012-07-17;2012;1817900;5012;1002,85554467;35971,4821169;6200408;"CZ1975";"6410";"n";"T1.9";100;"ps";NA;"0";"V";NA;NA;NA;"2";"invaze rostlinného druhu; ruderalizace";NA;NA;"1";"P";"MP";2012-07-17;"Gerža Michal";"A001821";"kvalita variabilní, pomístně více ruderalizované (zejména Cirsium arv, Tanacetum vulgrare)";NA;NA;2;35971,48211692;2012;1817900;5012;NA;"T";"CZ1975";0;0
7187296;563304;19750324;"CZ1975";"T";"T1.9 (100)";2012-07-17;2012;1817900;5012;1002,85554467;35971,4821169;6200408;"CZ1975";"6410";"n";"T1.9";100;"ps";NA;"0";"V";NA;NA;NA;"2";"invaze rostlinného druhu; ruderalizace";NA;NA;"1";"P";"MP";2012-07-17;"Gerža Michal";"A001821";"kvalita variabilní, pomístně více ruderalizované (zejména Cirsium arv, Tanacetum vulgrare)";NA;NA;2;35971,48211692;2012;1817900;5012;NA;"T";"CZ1975";0;0
8638009;563330;4651079;"CZ0465";"T";"T1.1 (100)";2012-07-24;2012;1852207;5073;458,614406946;6518,41337611;6194073;"CZ0465";"6510";"n";"T1.1";100;"ot";NA;"0";"P";"T1.5";NA;NA;"1";NA;NA;NA;"2";"MP";"P";2012-07-24;"Černá Jana";"A002579";"vlhčí, sečené";NA;NA;1;6518,41337611;2012;1852207;5073;NA;"T";"CZ0465";0;0
